fichier,titre_fr,titre_en,description,mots_cles
intro_venting,Intro-venting Définition Style Dictionnaire Vintage,Intro-venting Dictionary Definition Vintage Typography,"L'art de se confier en tant qu'introverti. Ce design typographique vintage est superbe sur un t-shirt, un tote bag ou un poster pour exprimer votre personnalité avec subtilité.","intro-venting, introvert, introversion, venting, définition, dictionnaire, vintage, typographie, t-shirt, tote bag, poster, sticker, humour, minimaliste, style rétro, confidences, design, graphique, concept, art, vie, mood, ironique, cadeau, unique"
aura_loss,Aura-loss Définition Style Dictionnaire Vintage,Aura-loss Dictionary Definition Vintage Typography,"Quand votre aura prend un coup. Ce design typographique unique, inspiré des dictionnaires, est parfait pour un t-shirt, un sticker ou un mug pour ceux qui aiment l'humour existentiel.","aura-loss, aura, perte, énergie, définition, dictionnaire, vintage, typographie, t-shirt, mug, sticker, poster, humour, minimaliste, style rétro, spirituel, ironique, design, graphique, concept, art, vie, mood, cadeau, unique"
pr_fatigu,Pré-fatigué : Définition humoristique vintage,Pré-fatigué Funny Dictionary Definition Design,"Affichez votre fatigue légendaire avec ce design style dictionnaire. Disponible sur t-shirt, mug ou sticker, c'est l'accessoire idéal pour ceux qui sont toujours en avance sur leur épuisement.","pré-fatigué, fatigue, humour français, définition, vintage, épuisement, travail, ironie, t-shirt humour, mug, sticker, poster, cadeau original, fatigué, second degré, dictionnaire, style rétro, art typographique, french quote, vie quotidienne, flemme, épuisé, sarcastique, minimaliste, bureau"
cringe_back,Cringe-back : Définition humoristique vintage,Cringe-back Funny Dictionary Definition Design,"Embrace the awkwardness with this dictionary-style design. This aesthetic print looks great on a tote bag, poster, or t-shirt for those who appreciate a bit of vintage irony.","cringe-back, cringe, humor, dictionary definition, vintage illustration, funny quote, irony, sarcasm, t-shirt design, tote bag, sticker, poster, retro style, awkward, social anxiety, minimalist, typographic, french english, modern humor, gift idea, cringe culture, aesthetic, quirky, slang, funny office"
micro_sieste_mentale,Micro-sieste mentale : Définition humoristique,Micro-sieste Mentale Funny Dictionary Design,La micro-sieste mentale est un art de vivre. Portez ce design sur un t-shirt ou affichez-le sur un poster pour revendiquer votre besoin de déconnexion totale avec style.,"micro-sieste, sieste, repos, fatigue, humour, définition, vintage, travail, pause, t-shirt, mug, sticker, poster, ironie, second degré, bien-être, zen, bureau, french quote, art typographique, minimaliste, cadeau, relaxation, déconnexion, mental health"
nihilisme_joyeux,Nihilisme Joyeux : Définition humoristique,Nihilisme Joyeux Funny Dictionary Design,"Le nihilisme joyeux est la philosophie ultime du quotidien. Ce design élégant se décline sur t-shirt, tote bag ou mug pour ajouter une touche d'absurde à votre routine.","nihilisme joyeux, nihilisme, philosophie, humour noir, définition, vintage, absurde, ironie, t-shirt, mug, tote bag, poster, sticker, french quote, art typographique, minimaliste, cadeau original, vie, cynisme, sarcastique, esprit, intellectuel, drôle, style rétro"
r_lerie_pr_ventive,Râlerie Préventive : Définition humoristique,Râlerie Préventive Funny Dictionary Design,La spécialité française par excellence. Affichez votre râlerie préventive sur un t-shirt ou une affiche et prévenez tout le monde avec humour et élégance vintage.,"râlerie, râler, humour français, définition, vintage, ironie, t-shirt, mug, sticker, poster, cadeau, second degré, sarcastique, bureau, vie quotidienne, french attitude, art typographique, minimaliste, humoristique, esprit français, caractère, humeur, rétro, culture française"
i_trade_my_life_energy_for_numbers_on_a_screen,Échange énergie de vie contre chiffres sur écran,Trading Life Energy For Numbers Corporate Cynicism,"A dark, relatable statement on modern corporate life. Perfect for a mug, t-shirt, or poster if you feel like just another cog in the machine.","corporate life, cynicism, work humor, burnout, office life, economic reality, funny quote, vintage style, t-shirt, mug, poster, sticker, tote bag, career, salary, capitalism, life energy, relatable, sarcastic, minimalist, typographic, modern struggle, corporate humor, job"
actively_avoiding_my_full_potential,J'évite activement mon plein potentiel,Actively Avoiding My Full Potential Funny Quote,"Celebrate the art of doing the bare minimum with this humorous design. Available on stickers, t-shirts, and posters for the professionally unmotivated.","avoiding potential, lazy, humor, procrastination, career, corporate cynicism, relatable, funny quote, vintage, t-shirt, mug, sticker, poster, minimalist, irony, lifestyle, work humor, office, sarcastic, minimalist design, typographic, unmotivated, life goals, funny"
this_outfit_cost_three_panic_attacks_and_a_break,Cette tenue a coûté trois crises d'angoisse,Outfit Cost Three Panic Attacks Funny Quote,A brutally honest take on the cost of adulting. This design is perfect for a t-shirt or tote bag if you want to wear your trauma with a vintage aesthetic.,"panic attacks, breakdown, adulting, corporate humor, cynicism, funny quote, vintage, t-shirt, tote bag, sticker, poster, mug, anxiety, relatable, mental health, sarcastic, dark humor, honest, life struggle, minimalist, typographic, modern life, outfit, daily mood"
my_career_path_is_a_spiral_staircase,Ma carrière est un escalier en colimaçon,Career Path Is A Spiral Staircase Quote,"A metaphorical look at the chaos of professional life. This design works perfectly on a mug, poster, or t-shirt to express your career trajectory.","career path, spiral staircase, corporate humor, cynicism, work life, funny quote, vintage style, t-shirt, mug, poster, sticker, tote bag, professional, chaos, trajectory, sarcastic, relatable, office, minimalist, typographic, job, career struggle, metaphor, funny"
overqualified_for_survival_underqualified_for_ad,"Surqualifié pour survivre, sous-qualifié pour adulte",Overqualified For Survival Underqualified For Adulting,"The ultimate struggle of the modern generation. This witty statement looks great on a t-shirt, sticker, or tote bag for those who are just winging it.","overqualified, survival, adulting, corporate humor, cynicism, funny quote, vintage, t-shirt, mug, sticker, poster, tote bag, relatable, life struggle, sarcastic, modern life, minimalist, typographic, growing up, adulthood, funny, career, job, irony"
i_am_the_ceo_of_unread_newsletters,CEO des newsletters non lues humour bureau,CEO of Unread Newsletters Funny Corporate Humor,"Affichez votre humour sarcastique avec ce design unique disponible sur t-shirt, sticker ou mug. Parfait pour les employés de bureau fatigués qui cherchent une touche d'ironie vintage sur leur tote bag ou poster au travail.","corporate humor, office life, newsletter, sarcastic, work humor, humour bureau, travail, vintage, ironie, ceo, burnout, funny quote, quotidien, job, career, bureau, humour noir, entreprise, productivity, procrastination, office style, citation, minimalist, retro, funny gift"
professionally_detached_from_the_outcome,Professionnellement détaché du résultat humour,Professionally Detached From The Outcome Funny Office,"Exprimez votre cynisme professionnel avec ce style vintage. Idéal sur un t-shirt pour le bureau, un mug pour le café ou un sticker pour votre ordinateur, ce design illustre parfaitement le détachement au travail.","corporate cynicism, office humor, detached, professional, work life, cynisme, travail, bureau, humour, vintage, retro, funny quote, career, job, ironie, sarcastic, office decor, motivation, corporate, entreprise, tshirt humour, mug, sticker, design, professional life"
running_on_pure_inertia,Je fonctionne à l'inertie pure humour,Running On Pure Inertia Funny Corporate Sarcasm,"Le design parfait pour ceux qui survivent à la semaine grâce à l'inertie. Retrouvez ce visuel vintage sur un tote bag, un poster ou un t-shirt pour afficher votre humour pince-sans-rire au bureau.","inertia, work fatigue, corporate life, office humor, tired, funny, sarcasm, travail, fatigue, bureau, humour, vintage, retro, citation, cynisme, career, job, tshirt, poster, mug, office style, life, quotidien, entreprise, ironie"
je_vends_mon_me_contre_des_tickets_resto,Je vends mon âme contre des tickets resto,Selling My Soul For Lunch Vouchers Funny Office,"Une touche d'humour réaliste sur le monde du travail. Ce design est disponible sur t-shirt, tote bag ou mug, parfait pour ajouter une dose de sarcasme à votre quotidien professionnel.","tickets resto, travail, humour bureau, cynisme, job, vie pro, entreprise, sarcasme, funny, office life, lunch break, corporate, vintage, retro, citation, boulot, career, tshirt, mug, sticker, poster, humour noir, quotidien, ironie, work"
manager_de_mon_propre_d_clin,Manager de mon propre déclin humour bureau,Managing My Own Decline Funny Corporate Humor,"Un design cynique et vintage parfait pour les journées de bureau difficiles. Disponible en sticker, t-shirt ou mug, c'est le cadeau idéal pour souligner l'absurdité du monde de l'entreprise.","manager, declin, travail, humour bureau, cynisme, entreprise, job, vie pro, sarcasme, funny, office life, corporate, vintage, retro, citation, boulot, career, tshirt, mug, sticker, poster, humour noir, quotidien, ironie, work"
surqualifi_pour_la_sieste,Surqualifié pour la sieste humour bureau,Overqualified For Napping Funny Office Quote,"Affichez votre priorité absolue avec ce design ironique. Idéal sur un t-shirt, un mug ou un poster, ce visuel vintage est parfait pour tous ceux qui préfèrent faire la sieste au travail.","sieste, surqualifié, travail, humour bureau, cynisme, job, vie pro, entreprise, sarcasme, funny, office life, napping, corporate, vintage, retro, citation, boulot, career, tshirt, mug, sticker, poster, humour noir, quotidien, ironie, work"
mon_plan_d_pargne_c_est_l_espoir,Mon plan d'épargne c'est l'espoir,My Savings Plan Is Hope Funny Corporate Quote,"Le réalisme économique avec une touche d'humour vintage. Parfait sur un tote bag ou un t-shirt, ce design exprime avec ironie la réalité financière du monde du travail moderne.","epargne, espoir, argent, travail, humour bureau, cynisme, job, vie pro, entreprise, sarcasme, funny, office life, finance, corporate, vintage, retro, citation, boulot, career, tshirt, mug, sticker, poster, humour noir, ironie"
professionnellement_d_missionnaire,Professionnellement démissionnaire humour,Professionally Resigned Funny Work Humor,Un état d'esprit qui parle à beaucoup de travailleurs. Portez ce design sur un t-shirt ou affichez-le via un sticker pour exprimer votre détachement professionnel avec style.,"demission, travail, humour bureau, cynisme, job, vie pro, entreprise, sarcasme, funny, office life, resigned, corporate, vintage, retro, citation, boulot, career, tshirt, mug, sticker, poster, humour noir, quotidien, ironie, work"
low_budget_high_drama,Petit budget gros drama humour bureau,Low Budget High Drama Funny Office Sarcasm,"Parfait pour ceux qui vivent intensément malgré les petits budgets. Ce design vintage est idéal sur un mug, un t-shirt ou un sticker pour ajouter du caractère à votre quotidien au bureau.","low budget, high drama, drama, office humor, work life, funny, sarcastic, travail, bureau, humour, vintage, retro, citation, cynisme, career, job, tshirt, poster, mug, office style, life, quotidien, entreprise, ironie"
corporate_jargon_enthusiast_not_really,Fan de jargon d'entreprise humour bureau,Corporate Jargon Enthusiast Not Really Funny,"Dénoncez le jargon corporate avec ce design sarcastique. Disponible sur t-shirt, mug ou sticker, c'est le choix parfait pour les réunions interminables où le jargon ne veut rien dire.","corporate jargon, office humor, business speak, sarcastic, work life, funny, travail, bureau, humour, vintage, retro, citation, cynisme, career, job, tshirt, poster, mug, office style, life, quotidien, entreprise, ironie, meeting"
cultivating_my_inner_weirdo,Cultiver mon excentricité intérieure design vintage,Cultivating My Inner Weirdo Vintage Aesthetic Design,"Affichez votre personnalité unique avec ce design sarcastique au style vintage. Que ce soit sur un t-shirt, un sticker ou un mug, cette illustration apporte une touche d'humour décalé à votre quotidien.","weirdo, inner weirdo, funny quote, vintage aesthetic, sarcastic quote, chaos, quirky art, original design, humour, statement, t-shirt, sticker, mug, tote bag, poster, excentricité, humour noir, citation drôle, style rétro, décalé, art typographique, cadeau original, personnalité, minimaliste"
perfectly_stable_in_an_unstable_way,Parfaitement stable de manière instable citation,Perfectly Stable In An Unstable Way Sarcastic Quote,Adoptez une approche ironique de la vie avec ce design minimaliste. Ce visuel est parfait pour personnaliser vos accessoires comme un tote bag ou une affiche tout en exprimant votre chaos intérieur avec élégance.,"perfectly stable, unstable, chaos, sarcasm, funny quote, vintage style, modern aesthetic, irony, mental health humour, t-shirt, sticker, mug, tote bag, poster, stable, instable, humour, citation, ironique, design rétro, graphisme, quotidien, original, statement, cadeau"
i_m_not_messy_i_m_just_avant_garde,Je ne suis pas désordonné je suis avant-garde,I'm Not Messy I'm Just Avant-Garde Funny Quote,"Transformez votre chaos en art avec cette citation pleine d'esprit. Idéal sur un t-shirt ou un sticker, ce design vintage s'adresse à tous ceux qui revendiquent leur propre style désordonné.","avant garde, messy, funny quote, sarcasm, vintage aesthetic, chaos, creative, humour, t-shirt, sticker, mug, tote bag, poster, art, citation, désordre, style, original, décalé, ironie, graphique, tendance, cadeau, personnalité, humour noir"
my_logic_is_flawless_it_s_the_world_that_s_wrong,Ma logique est parfaite c'est le monde qui a tort,My Logic Is Flawless Vintage Sarcastic Typography,"Affirmez votre vision du monde avec cette citation sarcastique. Ce design vintage est parfait sur un mug, un poster ou un t-shirt pour ceux qui préfèrent leur logique à la réalité.","flawless logic, world is wrong, sarcasm, funny quote, vintage, typography, chaos, humour, t-shirt, sticker, mug, tote bag, poster, ironie, citation, logique, monde, décalé, style rétro, graphisme, cadeau, original, tendance, statement, art"
delusions_of_adequacy,Délires d'adéquation citation ironique,Delusions Of Adequacy Vintage Typography Design,"Un design plein d'auto-dérision qui fera sourire votre entourage. Disponible sur t-shirt, sticker ou tote bag, c'est l'accessoire idéal pour ceux qui cultivent une ironie subtile.","delusions, adequacy, sarcasm, funny quote, vintage, typography, irony, humour, t-shirt, sticker, mug, tote bag, poster, auto-dérision, citation, décalé, style, design, graphique, cadeau, original, tendance, statement, minimaliste, art"
mildly_chaotic_but_highly_organized_about_it,Légèrement chaotique mais très organisé,Mildly Chaotic But Highly Organized Vintage Quote,"Pour ceux qui maîtrisent l'art du désordre organisé, ce design est fait pour vous. Parfait sur un mug, un poster ou un t-shirt, il allie esthétique vintage et humour moderne.","chaotic, organized, funny quote, sarcasm, vintage, typography, chaos, humour, t-shirt, sticker, mug, tote bag, poster, organisation, désordre, décalé, citation, style, ironie, graphique, cadeau, original, tendance, statement, minimaliste"
collecting_hobbies_i_will_abandon_in_two_weeks,Collectionner les hobbies abandonnés citation,Collecting Hobbies Funny Vintage Typography,"Un design qui parle à tous les esprits créatifs un peu dispersés. Ce visuel vintage est parfait sur un tote bag, un t-shirt ou un poster pour afficher votre honnêteté avec humour.","hobbies, abandoned, funny quote, sarcasm, vintage, typography, chaos, humour, t-shirt, sticker, mug, tote bag, poster, loisirs, créatif, décalé, citation, style, ironie, graphique, cadeau, original, tendance, statement, minimaliste"
organis_dans_mon_propre_d_sordre,Organisé dans mon propre désordre citation,Organized In My Own Chaos French Quote Design,"Découvrez ce design plein de caractère pour ceux qui trouvent leur équilibre dans le désordre. Disponible sur t-shirt, sticker ou mug, c'est l'accessoire parfait pour exprimer votre style unique.","organisé, désordre, citation française, humour, vintage, typography, chaos, t-shirt, sticker, mug, tote bag, poster, style, ironie, décalé, graphique, cadeau, original, tendance, statement, minimaliste, art, quotidien, personnalité"
ma_logique_vous_d_passe_moi_aussi,Ma logique vous dépasse moi aussi citation,My Logic Surpasses You French Sarcastic Quote,"Une citation pleine d'esprit pour ceux qui assument leur logique singulière. Ce design vintage est parfait sur un mug, un poster ou un t-shirt pour affirmer votre personnalité avec humour.","logique, citation française, sarcasme, humour, vintage, typography, chaos, t-shirt, sticker, mug, tote bag, poster, style, ironie, décalé, graphique, cadeau, original, tendance, statement, minimaliste, art, quotidien, personnalité"
en_transition_vers_une_vie_moins_fatigante,En transition vers une vie moins fatigante,Transitioning To A Less Tiring Life French Quote,"Un message honnête et drôle pour votre quotidien. Ce design vintage est idéal sur un t-shirt, un sticker ou un tote bag pour tous ceux qui aspirent à une vie plus simple et relaxante.","transition, vie, fatigante, citation française, humour, vintage, typography, chaos, t-shirt, sticker, mug, tote bag, poster, style, ironie, décalé, graphique, cadeau, original, tendance, statement, minimaliste, art, quotidien, personnalité"
cordialement_indisponible,Cordialement indisponible - Citation sarcastique,Cordialement Indisponible Funny Sarcastic Quote,"Affichez votre humeur avec ce design sarcastique et esthétique. Parfait sur un t-shirt, un sticker ou un mug pour exprimer votre besoin de tranquillité avec style.","cordialement indisponible, sarcasme, humour sarcastique, citation drôle, ironie, design typographique, vintage illustration, humeur, t-shirt humour, sticker sarcastique, mug personnalisé, tote bag, cadeau original, attitude, antisocial, pas disponible, second degré, style vintage, aesthetic, citation française, humour noir, indisponible, décalé, tendance, ironique"
championne_du_monde_de_la_mauvaise_foi_injustifi,Championne du monde de la mauvaise foi,Championne du Monde de la Mauvaise Foi Sarcastic Quote,"Assumez votre mauvaise foi avec ce design unique et audacieux. Ce visuel est idéal pour un t-shirt, un poster ou un tote bag qui ne passera pas inaperçu.","mauvaise foi, championne du monde, sarcasme, humour, citation drôle, ironie, design typographique, vintage, t-shirt femme, tote bag, poster, sticker, cadeau drôle, attitude, second degré, caractère, drôle, francais, citation, aesthetic, indépendante, humour noir, décalé, tendance, personnalité"
la_patience_est_une_vertu_que_je_n_ai_pas_les_mo,La patience est une vertu que je n'ai pas,No Patience Sarcastic Typography Quote,"Exprimez votre manque de patience avec cette citation pleine d'ironie. Ce design vintage est parfait sur un mug, un sticker ou un t-shirt pour les journées difficiles.","patience, aucune patience, sarcasme, humour, citation drôle, ironie, design typographique, vintage, t-shirt, mug, sticker, tote bag, cadeau, attitude, humeur, second degré, impatient, décalé, tendance, aesthetic, francais, citation, humour noir, stress, quotidien"
pas_d_humeur_tre_constructif,Pas d'humeur à être constructif,Not In The Mood To Be Constructive Sarcastic Quote,"Parfois, il vaut mieux rester honnête avec ce design sarcastique. Idéal pour un t-shirt, un sticker ou un mug pour ceux qui n'ont pas de temps pour le bullshit.","pas d'humeur, constructif, sarcasme, humour, citation drôle, ironie, design typographique, vintage, t-shirt, mug, sticker, tote bag, attitude, second degré, honnêteté, travail, bureau, décalé, tendance, aesthetic, francais, citation, humour noir, fatigue, antisocial"
tout_va_bien_c_est_juste_le_monde_qui_s_effondre,"Tout va bien, le monde s'effondre",Everything is Fine Sarcastic World Collapse Quote,"Gardez le sourire face au chaos avec ce design sarcastique. Un style vintage parfait pour un t-shirt, un poster ou un tote bag pour affronter la réalité.","tout va bien, monde qui s'effondre, sarcasme, humour, citation drôle, ironie, design typographique, vintage, t-shirt, poster, sticker, tote bag, attitude, second degré, chaos, réalité, absurde, décalé, tendance, aesthetic, francais, citation, humour noir, optimisme, drôle"
mon_niveau_d_nergie_est_inversement_proportionne,Mon niveau d'énergie et mon cynisme,Energy Level vs Cynicism Sarcastic Quote,"Ce design illustre parfaitement le combat quotidien entre fatigue et cynisme. Disponible sur t-shirt, mug ou sticker pour afficher votre état d'esprit.","energie, cynisme, sarcasme, humour, citation drôle, ironie, design typographique, vintage, t-shirt, mug, sticker, tote bag, attitude, second degré, fatigue, épuisement, décalé, tendance, aesthetic, francais, citation, humour noir, quotidien, travail, humeur"
emotional_support_tote_bag,Sac fourre-tout de soutien émotionnel,Emotional Support Tote Bag Funny Sarcastic Quote,"Ce design est parfait pour votre sac de prédilection, qu'il soit rempli de livres ou de snacks. Un accessoire indispensable pour les amateurs d'humour sarcastique.","emotional support, tote bag, funny, sarcastic, quote, typography, vintage, aesthetic, mental health, humour, bag, t-shirt, sticker, gift, minimalist, sarcasme, sac, cadeau, drôle, citation, tendance, mode, accessoire, humeur, ironique"
powered_by_iced_lattes_and_existential_dread,Café glacé et angoisse existentielle,Iced Lattes and Existential Dread Funny Quote,"Le combo ultime pour survivre à la journée. Ce design sarcastique est idéal sur un mug, un t-shirt ou un sticker pour les fans de caféine et de réalisme.","iced latte, existential dread, coffee, funny, sarcastic, quote, typography, vintage, aesthetic, humour, caffeine, t-shirt, mug, sticker, tote bag, gift, sarcasme, café, angoisse, citation, tendance, drôle, ironique, quotidien, humeur"
my_plants_are_doing_better_than_my_mental_health,Mes plantes vont mieux que ma santé mentale,Plants vs Mental Health Funny Sarcastic Quote,"Si vos plantes sont plus épanouies que vous, ce design est fait pour vous. Parfait sur un t-shirt, un sticker ou un tote bag pour les amoureux de nature et d'humour.","plants, mental health, funny, sarcastic, quote, typography, vintage, aesthetic, humour, plant mom, t-shirt, mug, sticker, tote bag, gift, sarcasme, plantes, santé mentale, citation, tendance, drôle, ironique, quotidien, jardinage, humeur"
sac_vrac_rempli_d_anxi_t,Sac à vrac rempli d'anxiété,Anxiety Tote Bag Funny Sarcastic Quote,"Un sac honnête pour transporter tout votre stress quotidien. Ce design sarcastique est parfait sur un tote bag, un sticker ou un t-shirt pour assumer votre personnalité.","sac a vrac, anxiété, sarcasme, humour, citation drôle, ironie, design typographique, vintage, tote bag, t-shirt, sticker, mug, cadeau, attitude, second degré, stress, décalé, tendance, aesthetic, francais, citation, humour noir, quotidien, humeur, drôle"
